"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C6I Quadruple Extra Large","c6i.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.6800 hourly","$0.4502 hourly","$0.2628 hourly","$1.4160 hourly","$1.1862 hourly"
"C6G Eight Extra Large","c6g.8xlarge","64.0 GiB","32 vCPUs","EBS only","12 Gigabit","$0.6816 hourly","$0.4294 hourly","$0.2449 hourly","unavailable","unavailable"
"C6GN Quadruple Extra Large","c6gn.4xlarge","32.0 GiB","16 vCPUs","EBS only","25 Gigabit","$0.6920 hourly","$0.4368 hourly","$0.2238 hourly","unavailable","unavailable"
"R7GD Quadruple Extra Large","r7gd.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 15 Gigabit","$0.7040 hourly","$0.4435 hourly","$0.2359 hourly","unavailable","unavailable"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","8 vCPUs","1900 GB                 NVMe SSD","Up to 10 Gigabit","$0.7080 hourly","$0.4870 hourly","$0.3066 hourly","$1.0760 hourly","$0.8550 hourly"
"C7I Quadruple Extra Large","c7i.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.7140 hourly","$0.4728 hourly","$0.2825 hourly","$1.4500 hourly","$1.2087 hourly"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$0.7480 hourly","$0.4953 hourly","$0.2665 hourly","$2.2200 hourly","$1.9673 hourly"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","32 vCPUs","EBS only","10 Gigabit","$0.7520 hourly","$0.4740 hourly","$0.3489 hourly","$2.2240 hourly","$1.9460 hourly"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","8 vCPUs","160 GB                 SSD","High","$0.7580 hourly","$0.5770 hourly","$0.2911 hourly","$1.1260 hourly","$0.9450 hourly"
"I4I Double Extra Large","i4i.2xlarge","64.0 GiB","8 vCPUs","1875 GB                 NVMe SSD","Up to 12 Gigabit","$0.7790 hourly","$0.5070 hourly","$0.2319 hourly","$1.1470 hourly","$0.8750 hourly"
"Z1D Double Extra Large","z1d.2xlarge","64.0 GiB","8 vCPUs","300 GB                 NVMe SSD","Up to 10 Gigabit","$0.7840 hourly","$0.4940 hourly","$0.2583 hourly","$1.1520 hourly","$0.8620 hourly"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","$0.7840 hourly","$0.4939 hourly","$0.2511 hourly","unavailable","unavailable"
"C7G Eight Extra Large","c7g.8xlarge","64.0 GiB","32 vCPUs","EBS only","15 Gigabit","$0.7853 hourly","$0.5200 hourly","$0.2734 hourly","unavailable","unavailable"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","16 vCPUs","400 GB                 NVMe SSD","Up to 10 Gigabit","$0.7920 hourly","$0.4990 hourly","$0.2806 hourly","$1.5280 hourly","$1.2350 hourly"
"C4 High-CPU Quadruple Extra Large","c4.4xlarge","30.0 GiB","16 vCPUs","EBS only","High","$0.8000 hourly","$0.5420 hourly","$0.2722 hourly","$1.5360 hourly","$1.2780 hourly"
"M7I-FLEX Quadruple Extra Large","m7i-flex.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.8060 hourly","$0.5323 hourly","$0.2627 hourly","$1.5052 hourly","$1.2315 hourly"
"M5 General Purpose Quadruple Extra Large","m5.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$0.8080 hourly","$0.5090 hourly","$0.2890 hourly","$1.5440 hourly","$1.2450 hourly"
"M6I Quadruple Extra Large","m6i.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.8080 hourly","$0.5336 hourly","$0.2972 hourly","$1.5440 hourly","$1.2696 hourly"
"M6G Eight Extra Large","m6g.8xlarge","128.0 GiB","32 vCPUs","EBS only","12 Gigabit","$0.8096 hourly","$0.5100 hourly","$0.2944 hourly","unavailable","unavailable"
"D2 Extra Large","d2.xlarge","30.5 GiB","4 vCPUs","6144 GB                 (3 * 2048 GB HDD)","Moderate","$0.8270 hourly","$0.4880 hourly","$0.3164 hourly","$1.0110 hourly","$0.6720 hourly"
"G4DN Double Extra Large","g4dn.2xlarge","32.0 GiB","8 vCPUs","225 GB                 NVMe SSD","Up to 25 Gigabit","$0.8280 hourly","$0.5210 hourly","$0.2773 hourly","$1.1960 hourly","$0.8890 hourly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","16 vCPUs","EBS only","High","$0.8400 hourly","$0.5235 hourly","$0.3233 hourly","$1.5760 hourly","$1.2595 hourly"
"M7I Quadruple Extra Large","m7i.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$0.8484 hourly","$0.5603 hourly","$0.3365 hourly","$1.5844 hourly","$1.2963 hourly"
"X1E Extra Large","x1e.xlarge","122.0 GiB","4 vCPUs","120 GB                 SSD","Up to 10 Gigabit","$0.8600 hourly","$0.5260 hourly","$0.2328 hourly","$1.0440 hourly","$0.7100 hourly"
"X2IEDN Extra Large","x2iedn.xlarge","128.0 GiB","4 vCPUs","118 GB                 NVMe SSD","Up to 25 Gigabit","$0.8601 hourly","$0.5292 hourly","$0.2691 hourly","$1.0441 hourly","$0.7132 hourly"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$0.8640 hourly","$0.5440 hourly","$0.3240 hourly","$1.6000 hourly","$1.2800 hourly"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$0.8888 hourly","$0.5870 hourly","$0.3892 hourly","$2.3608 hourly","$2.0590 hourly"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","$0.8890 hourly","$0.5600 hourly","$0.4209 hourly","$2.3610 hourly","$2.0320 hourly"
"C6IN Quadruple Extra Large","c6in.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","$0.9072 hourly","$0.5715 hourly","$0.3175 hourly","$1.6432 hourly","$1.3075 hourly"
"C7GD Eight Extra Large","c7gd.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","$0.9216 hourly","$0.5806 hourly","$0.2684 hourly","unavailable","unavailable"
"M7G Eight Extra Large","m7g.8xlarge","128.0 GiB","32 vCPUs","EBS only","15 Gigabit","$0.9331 hourly","$0.6163 hourly","$0.2907 hourly","unavailable","unavailable"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","$0.9664 hourly","$0.6088 hourly","$0.3096 hourly","unavailable","unavailable"
"I2 Extra Large","i2.xlarge","30.5 GiB","4 vCPUs","800 GB                 SSD","Moderate","$0.9670 hourly","$0.5800 hourly","$0.3688 hourly","$1.1510 hourly","$0.7640 hourly"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$0.9760 hourly","$0.6150 hourly","$0.3389 hourly","$1.7120 hourly","$1.3510 hourly"
"INF2 Extra Large","inf2.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 15 Gigabit","$0.9857 hourly","$0.6210 hourly","$0.2863 hourly","unavailable","unavailable"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","EBS only","20 Gigabit","$1.0224 hourly","$0.6441 hourly","$0.3320 hourly","unavailable","unavailable"
"M6ID Quadruple Extra Large","m6id.4xlarge","64.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 12.5 Gigabit","$1.0248 hourly","$0.6456 hourly","$0.3248 hourly","$1.7608 hourly","$1.3816 hourly"
"I3EN Double Extra Large","i3en.2xlarge","64.0 GiB","8 vCPUs","5000 GB                 (2 * 2500 GB NVMe SSD)","Up to 25 Gigabit","$1.0280 hourly","$0.7020 hourly","$0.2835 hourly","$1.3960 hourly","$1.0700 hourly"
"R6I Quadruple Extra Large","r6i.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$1.0400 hourly","$0.6835 hourly","$0.3797 hourly","$1.7760 hourly","$1.4196 hourly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.0400 hourly","$0.6520 hourly","$0.3668 hourly","$1.7760 hourly","$1.3880 hourly"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","32 vCPUs","EBS only","12 Gigabit","$1.0400 hourly","$0.6552 hourly","$0.4210 hourly","unavailable","unavailable"
"D3 Double Extra Large","d3.2xlarge","64.0 GiB","8 vCPUs","11880 GB                 (6 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$1.0470 hourly","$0.6600 hourly","$0.3569 hourly","$1.4150 hourly","$1.0280 hourly"
"M5AD Eight Extra Large","m5ad.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$1.0740 hourly","$0.6760 hourly","$0.4667 hourly","$2.5460 hourly","$2.1480 hourly"
"R7I Quadruple Extra Large","r7i.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","$1.0920 hourly","$0.7177 hourly","$0.3692 hourly","$1.8280 hourly","$1.4537 hourly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","$1.0960 hourly","$0.6890 hourly","$0.3907 hourly","$1.8320 hourly","$1.4250 hourly"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$1.1220 hourly","$0.7429 hourly","$0.4251 hourly","$3.3300 hourly","$2.9509 hourly"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","$1.1280 hourly","$0.7110 hourly","$0.5003 hourly","$3.3360 hourly","$2.9190 hourly"
"M7GD Eight Extra Large","m7gd.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","$1.1360 hourly","$0.7157 hourly","$0.3029 hourly","unavailable","unavailable"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","32 vCPUs","EBS only","Up to 10 Gigabit","$1.1440 hourly","$0.7170 hourly","$0.4239 hourly","$2.6160 hourly","$2.1890 hourly"
"R6A Eight Extra Large","r6a.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.1440 hourly","$0.7518 hourly","$0.5059 hourly","$2.6160 hourly","$2.2238 hourly"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","12 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","$1.1760 hourly","$0.7410 hourly","$0.4121 hourly","$1.7280 hourly","$1.2930 hourly"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$1.1760 hourly","$0.7409 hourly","$0.3867 hourly","unavailable","unavailable"
"C7G 12xlarge","c7g.12xlarge","96.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","$1.1779 hourly","$0.7799 hourly","$0.3503 hourly","unavailable","unavailable"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12 Gigabit","$1.1958 hourly","$0.7534 hourly","$0.3915 hourly","unavailable","unavailable"
"R7G Eight Extra Large","r7g.8xlarge","256.0 GiB","32 vCPUs","EBS only","15 Gigabit","$1.2013 hourly","$0.7895 hourly","$0.4174 hourly","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Extra Large","g5.xlarge","16.0 GiB","4 vCPUs","250 GB                 NVMe SSD","Up to 10 Gigabit","$1.2080 hourly","$0.7610 hourly","$0.4514 hourly","$1.3920 hourly","$0.9450 hourly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","16 vCPUs","600 GB                 (2 * 300 GB NVMe SSD)","Up to 10 Gigabit","$1.2080 hourly","$0.7610 hourly","$0.4190 hourly","$1.9440 hourly","$1.4970 hourly"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","48 vCPUs","EBS only","20 Gigabit","$1.2144 hourly","$0.7651 hourly","$0.3998 hourly","unavailable","unavailable"
"R5N Quadruple Extra Large","r5n.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","$1.2240 hourly","$0.7710 hourly","$0.4029 hourly","$1.9600 hourly","$1.5070 hourly"
"INF1 6xlarge","inf1.6xlarge","48.0 GiB","24 vCPUs","EBS only","25 Gigabit","$1.2410 hourly","$0.7820 hourly","$0.3904 hourly","unavailable","unavailable"
"R6ID Quadruple Extra Large","r6id.4xlarge","128.0 GiB","16 vCPUs","950 GB                 NVMe SSD","Up to 12.5 Gigabit","$1.2688 hourly","$0.7993 hourly","$0.3967 hourly","$2.0048 hourly","$1.5353 hourly"
"IS4GEN Double Extra Large","is4gen.2xlarge","48.0 GiB","8 vCPUs","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.3100 hourly","$0.8946 hourly","unavailable","unavailable","unavailable"
"G4DN Quadruple Extra Large","g4dn.4xlarge","64.0 GiB","16 vCPUs","225 GB                 NVMe SSD","Up to 25 Gigabit","$1.3250 hourly","$0.8350 hourly","$0.4210 hourly","$2.0610 hourly","$1.5710 hourly"
"R5AD Eight Extra Large","r5ad.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$1.3290 hourly","$0.8370 hourly","$0.6175 hourly","$2.8010 hourly","$2.3090 hourly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","EBS only","10 Gigabit","$1.3330 hourly","$0.8400 hourly","$0.4558 hourly","$3.5410 hourly","$3.0480 hourly"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$1.3332 hourly","$0.8805 hourly","$0.5257 hourly","$3.5412 hourly","$3.0885 hourly"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.3600 hourly","$0.9005 hourly","$0.4929 hourly","$2.8320 hourly","$2.3725 hourly"
"C6G 16xlarge","c6g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$1.3632 hourly","$0.8588 hourly","$0.3953 hourly","unavailable","unavailable"
"C6G Metal","c6g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$1.3632 hourly","$0.8588 hourly","$0.4253 hourly","unavailable","unavailable"
"C7GD 12xlarge","c7gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$1.3824 hourly","$0.8709 hourly","$0.4211 hourly","unavailable","unavailable"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","$1.3840 hourly","$0.8737 hourly","$0.4306 hourly","unavailable","unavailable"
"M7G 12xlarge","m7g.12xlarge","192.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","$1.3997 hourly","$0.9244 hourly","$0.4185 hourly","unavailable","unavailable"
"R7GD Eight Extra Large","r7gd.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","15 Gigabit","$1.4080 hourly","$0.8870 hourly","$0.4100 hourly","unavailable","unavailable"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","16 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","Up to 10 Gigabit","$1.4160 hourly","$0.9740 hourly","$0.4619 hourly","$2.1520 hourly","$1.7100 hourly"
"C7I Eight Extra Large","c7i.8xlarge","64.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.4280 hourly","$0.9455 hourly","$0.5363 hourly","$2.9000 hourly","$2.4175 hourly"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$1.4496 hourly","$0.9132 hourly","$0.4278 hourly","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Double Extra Large","g5.2xlarge","32.0 GiB","8 vCPUs","450 GB                 NVMe SSD","Up to 10 Gigabit","$1.4554 hourly","$0.9169 hourly","$0.5250 hourly","$1.8234 hourly","$1.2849 hourly"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$1.4960 hourly","$0.9905 hourly","$0.6128 hourly","$4.4400 hourly","$3.9345 hourly"
"C5A 16xlarge","c5a.16xlarge","128.0 GiB","64 vCPUs","EBS only","20 Gigabit","$1.5040 hourly","$0.9480 hourly","$0.6608 hourly","$4.4480 hourly","$3.8920 hourly"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","16 vCPUs","320 GB                 SSD","High","$1.5160 hourly","$1.1550 hourly","$0.6594 hourly","$2.2520 hourly","$1.8910 hourly"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","36 vCPUs","EBS only","12 Gigabit","$1.5300 hourly","$0.9640 hourly","$0.6617 hourly","$3.1860 hourly","$2.6200 hourly"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","12 vCPUs","7500 GB                 NVMe SSD","Up to 25 Gigabit","$1.5420 hourly","$1.0520 hourly","$0.4770 hourly","$2.0940 hourly","$1.6040 hourly"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","$1.5580 hourly","$1.0140 hourly","$0.5055 hourly","$2.2940 hourly","$1.7500 hourly"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","48 vCPUs","EBS only","20 Gigabit","$1.5600 hourly","$0.9828 hourly","$0.5175 hourly","unavailable","unavailable"
"C6GD Metal","c6gd.metal","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$1.5680 hourly","$0.9878 hourly","$0.4794 hourly","unavailable","unavailable"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$1.5680 hourly","$0.9878 hourly","$0.4869 hourly","unavailable","unavailable"
"C7G 16xlarge","c7g.16xlarge","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","$1.5706 hourly","$1.0399 hourly","$0.4847 hourly","unavailable","unavailable"
"C7G Metal","c7g.metal","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","$1.5706 hourly","$1.0399 hourly","$0.4943 hourly","unavailable","unavailable"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","EBS only","10 Gigabit","$1.6000 hourly","$1.0840 hourly","$0.5429 hourly","$3.2560 hourly","$2.7400 hourly"
"M5AD 12xlarge","m5ad.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","$1.6100 hourly","$1.0150 hourly","$0.5575 hourly","$3.8180 hourly","$3.2230 hourly"
"M7I-FLEX Eight Extra Large","m7i-flex.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 12.5 Gigabit","$1.6120 hourly","$1.0646 hourly","$0.6191 hourly","$3.0104 hourly","$2.4630 hourly"
"M6I Eight Extra Large","m6i.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.6160 hourly","$1.0672 hourly","$0.7221 hourly","$3.0880 hourly","$2.5392 hourly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","32 vCPUs","EBS only","10 Gigabit","$1.6160 hourly","$1.0180 hourly","$0.5881 hourly","$3.0880 hourly","$2.4900 hourly"
"M6G Metal","m6g.metal","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$1.6192 hourly","$1.0201 hourly","$0.4886 hourly","unavailable","unavailable"
"M6G 16xlarge","m6g.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$1.6192 hourly","$1.0201 hourly","$0.5170 hourly","unavailable","unavailable"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","12288 GB                 (6 * 2048 GB HDD)","High","$1.6530 hourly","$0.9750 hourly","$0.6044 hourly","$2.0210 hourly","$1.3430 hourly"
"M7I Eight Extra Large","m7i.8xlarge","128.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$1.6968 hourly","$1.1206 hourly","$0.6102 hourly","$3.1688 hourly","$2.5926 hourly"
"M7GD 12xlarge","m7gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$1.7040 hourly","$1.0735 hourly","$0.5487 hourly","unavailable","unavailable"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","48 vCPUs","EBS only","10 Gigabit","$1.7160 hourly","$1.0760 hourly","$0.5825 hourly","$3.9240 hourly","$3.2840 hourly"
"R6A 12xlarge","r6a.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$1.7160 hourly","$1.1278 hourly","$0.5648 hourly","$3.9240 hourly","$3.3357 hourly"
"P2 General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","4 vCPUs","EBS only","High","$1.7180 hourly","$1.2910 hourly","$0.5664 hourly","$1.9020 hourly","$1.4750 hourly"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","8 vCPUs","240 GB                 SSD","Up to 10 Gigabit","$1.7200 hourly","$1.0520 hourly","$0.5102 hourly","$2.0880 hourly","$1.4200 hourly"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","237 GB                 NVMe SSD","Up to 25 Gigabit","$1.7203 hourly","$1.0585 hourly","$0.4955 hourly","$2.0882 hourly","$1.4265 hourly"
"M6A 16xlarge","m6a.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$1.7776 hourly","$1.1739 hourly","$0.6555 hourly","$4.7216 hourly","$4.1179 hourly"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","64 vCPUs","EBS only","12 Gigabit","$1.7780 hourly","$1.1200 hourly","$0.6222 hourly","$4.7220 hourly","$4.0640 hourly"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","900 GB                 NVMe SSD","12 Gigabit","$1.7820 hourly","$1.1230 hourly","$0.7121 hourly","$3.4380 hourly","$2.7790 hourly"
"R6GD 12xlarge","r6gd.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$1.7938 hourly","$1.1301 hourly","$0.5118 hourly","unavailable","unavailable"
"R7G 12xlarge","r7g.12xlarge","384.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","$1.8019 hourly","$1.1842 hourly","$0.5650 hourly","unavailable","unavailable"
"C6IN Eight Extra Large","c6in.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","$1.8144 hourly","$1.1431 hourly","$0.5896 hourly","$3.2864 hourly","$2.6151 hourly"
"C7GD Metal","c7gd.metal","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$1.8432 hourly","$1.1612 hourly","$0.4118 hourly","unavailable","unavailable"
"C7GD 16xlarge","c7gd.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$1.8432 hourly","$1.1612 hourly","$0.5769 hourly","unavailable","unavailable"
"M7G 16xlarge","m7g.16xlarge","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","$1.8662 hourly","$1.2326 hourly","$0.5311 hourly","unavailable","unavailable"
"M7G Metal","m7g.metal","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","$1.8662 hourly","$1.2326 hourly","$0.5974 hourly","unavailable","unavailable"
"M6GD 16xlarge","m6gd.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$1.9328 hourly","$1.2177 hourly","$0.6166 hourly","unavailable","unavailable"
"M6GD Metal","m6gd.metal","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$1.9328 hourly","$1.2177 hourly","$0.5733 hourly","unavailable","unavailable"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","8 vCPUs","1600 GB                 (2 * 800 GB SSD)","High","$1.9330 hourly","$1.1630 hourly","$0.8396 hourly","$2.3010 hourly","$1.5310 hourly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","36 vCPUs","EBS only","50 Gigabit","$1.9440 hourly","$1.2250 hourly","$0.7591 hourly","$3.6000 hourly","$2.8810 hourly"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","600 GB                 NVMe SSD","Up to 25 Gigabit","$1.9501 hourly","$1.2286 hourly","$0.8102 hourly","$2.6861 hourly","$1.9646 hourly"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$1.9520 hourly","$1.2300 hourly","$0.8277 hourly","$3.4240 hourly","$2.7020 hourly"
"R5AD 12xlarge","r5ad.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","10 Gigabit","$1.9930 hourly","$1.2560 hourly","$0.6375 hourly","$4.2010 hourly","$3.4640 hourly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","EBS only","12 Gigabit","$2.0400 hourly","$1.2850 hourly","$0.7340 hourly","$4.2480 hourly","$3.4930 hourly"
"C6I 12xlarge","c6i.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.0400 hourly","$1.3507 hourly","$0.8824 hourly","$4.2480 hourly","$3.5587 hourly"
"M6ID Eight Extra Large","m6id.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","$2.0496 hourly","$1.2913 hourly","$0.7139 hourly","$3.5216 hourly","$2.7633 hourly"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","$2.0760 hourly","$1.3105 hourly","$0.6412 hourly","unavailable","unavailable"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.0800 hourly","$1.3040 hourly","$0.8102 hourly","$3.5520 hourly","$2.7760 hourly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$2.0800 hourly","$1.3671 hourly","$0.8772 hourly","$3.5520 hourly","$2.8391 hourly"
"R6G Metal","r6g.metal","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.0800 hourly","$1.3104 hourly","$0.5654 hourly","unavailable","unavailable"
"R6G 16xlarge","r6g.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.0800 hourly","$1.3104 hourly","$0.5980 hourly","unavailable","unavailable"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","16 vCPUs","23760 GB                 (12 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$2.0950 hourly","$1.3200 hourly","$0.6002 hourly","$2.8310 hourly","$2.0560 hourly"
