"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"U-24TB1 112xlarge","u-24tb1.112xlarge","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-18TB1 Metal","u-18tb1.metal","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-24TB1 Metal","u-24tb1.metal","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 Metal","u-9tb1.metal","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","16 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2-M2PRO Metal","mac2-m2pro.metal","32.0 GiB","20 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2 Metal","mac2.metal","16.0 GiB","12 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2-M2 Metal","mac2-m2.metal","24.0 GiB","12 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I2 Large","i2.large","15.0 GiB","2 vCPUs","EBS only","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC1 Metal","mac1.metal","32.0 GiB","12 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
