"Name","API Name","Memory","Storage","vCPUs","Network Performance","PostgreSQL","PostgreSQL Reserved Cost","MySQL On Demand Cost","MySQL Reserved Cost","SQL Server Express On Demand Cost","SQL Server Express Reserved Cost","SQL Server Web On Demand Cost","SQL Server Web Reserved Cost","SQL Server Standard On Demand Cost","SQL Server Standard Reserved Cost","SQL Server Enterprise On Demand Cost","SQL Server Enterprise Reserved Cost","Aurora Postgres & MySQL On Demand Cost","Aurora Postgres & MySQL Reserved Cost","Aurora I/O Optimized On Demand Cost","MariaDB On Demand Cost","MariaDB Reserved Cost","Oracle Enterprise On Demand Cost","Oracle Enterprise Reserved Cost"
"M5D Extra Large","db.m5d.xlarge","16 GiB","1 x 150 NVMe SSD","4 vCPUs","Up to 10 Gbps","$0.6110 hourly","$0.4706 hourly","$0.6110 hourly","$0.4706 hourly","unavailable","unavailable","$0.6200 hourly","$0.4232 hourly","$1.3170 hourly","$1.0368 hourly","$2.4100 hourly","$2.3377 hourly","unavailable","unavailable","unavailable","$0.6110 hourly","unavailable","$0.5670 hourly","$0.4090 hourly"
"R5D Extra Large","db.r5d.xlarge","32 GiB","1 x 150 NVMe SSD","4 vCPUs","Up to 10 Gbps","$0.6620 hourly","$0.5098 hourly","$0.6620 hourly","$0.5098 hourly","unavailable","unavailable","$0.9700 hourly","$0.8144 hourly","$1.5940 hourly","$1.5062 hourly","$2.5820 hourly","$2.5753 hourly","unavailable","unavailable","unavailable","$0.6620 hourly","unavailable","$0.6010 hourly","$0.4320 hourly"
"T4G Double Extra Large","db.t4g.2xlarge","32 GiB","0 GiB (EBS only)","8 vCPUs","Up to 5 Gigabit","$0.6690 hourly","$0.5284 hourly","$0.6690 hourly","$0.5284 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.6690 hourly","$0.5284 hourly","unavailable","unavailable"
"T3 Double Extra Large","db.t3.2xlarge","32 GiB","0 GiB (EBS only)","8 vCPUs","Moderate","$0.8480 hourly","$0.6589 hourly","$0.7840 hourly","$0.7040 hourly","unavailable","unavailable","$0.8330 hourly","$0.5248 hourly","$2.1250 hourly","$2.0082 hourly","$4.5570 hourly","unavailable","unavailable","unavailable","unavailable","$0.7840 hourly","$0.7040 hourly","$0.7840 hourly","$0.4939 hourly"
"T2 General Purpose Double Extra Large","db.t2.2xlarge","32 GiB","0 GiB (EBS only)","8 vCPUs","Moderate","$0.8480 hourly","unavailable","$0.7960 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.7960 hourly","unavailable","$0.7968 hourly","unavailable"
"M6G Double Extra Large","db.m6g.2xlarge","32 GiB","0 GiB (EBS only)","8 vCPUs","Up to 10 Gigabit","$0.9040 hourly","$0.5788 hourly","$0.8570 hourly","$0.5490 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.8570 hourly","$0.5490 hourly","unavailable","unavailable"
"M7G Double Extra Large","db.m7g.2xlarge","32 GiB","0 GiB (EBS only)","8 vCPUs","Up to 15 Gigabit","$0.9580 hourly","$0.7377 hourly","$0.9580 hourly","$0.7376 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.9580 hourly","$0.7376 hourly","unavailable","unavailable"
"M6I Double Extra Large","db.m6i.2xlarge","32 GiB","0 GiB (EBS only)","8 vCPUs","Up to 12.5 Gbps","$1.0120 hourly","$0.6480 hourly","$0.9640 hourly","$0.6176 hourly","unavailable","unavailable","$1.4730 hourly","$1.1860 hourly","$2.7780 hourly","$2.4820 hourly","$4.7860 hourly","$4.5560 hourly","unavailable","unavailable","unavailable","$0.9640 hourly","$0.6176 hourly","$0.9640 hourly","$0.6912 hourly"
"M5 Double Extra Large","db.m5.2xlarge","32 GiB","0 GiB (EBS only)","8 vCPUs","Up to 10 Gigabit","$1.0120 hourly","$0.6482 hourly","$0.9640 hourly","$0.6174 hourly","unavailable","unavailable","$1.4730 hourly","$1.1860 hourly","$2.7780 hourly","$2.4820 hourly","$4.7860 hourly","$4.5560 hourly","unavailable","unavailable","unavailable","$0.9640 hourly","$0.6174 hourly","$0.9640 hourly","$0.6009 hourly"
"R6G Double Extra Large","db.r6g.2xlarge","64 GiB","0 GiB (EBS only)","8 vCPUs","Up to 10 Gigabit","$1.0250 hourly","$0.6996 hourly","$0.9670 hourly","$0.6587 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.1810 hourly","$0.7769 hourly","$1.5350 hourly","$0.9670 hourly","$0.6587 hourly","unavailable","unavailable"
"M4 General Purpose Double Extra Large","db.m4.2xlarge","32 GiB","0 GiB (EBS only)","8 vCPUs","High","$1.0290 hourly","unavailable","$0.9860 hourly","unavailable","unavailable","unavailable","$1.4730 hourly","unavailable","$2.7780 hourly","unavailable","$4.7860 hourly","unavailable","unavailable","unavailable","unavailable","$0.9860 hourly","unavailable","$0.9860 hourly","unavailable"
"M6GD Double Extra Large","db.m6gd.2xlarge","32 GiB","1 x 475 NVMe SSD","8 vCPUs","Up to 10 Gigabit","$1.0790 hourly","$0.8309 hourly","$1.0790 hourly","$0.8309 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.0790 hourly","unavailable","unavailable","unavailable"
